Id,SalePrice
1461,123384.421875
1462,165504.21875
1463,187040.3125
1464,197691.578125
1465,191067.640625
1466,172360.8125
1467,172567.890625
1468,166956.34375
1469,184633.9375
1470,122942.1875
1471,200276.171875
1472,95509.21875
1473,96108.25
1474,155210.828125
1475,123237.421875
1476,386464.375
1477,254639.484375
1478,280807.78125
1479,274518.75
1480,502932.34375
1481,338412.0
1482,206139.609375
1483,166759.1875
1484,171023.5625
1485,174646.203125
1486,199920.84375
1487,326811.71875
1488,238560.03125
1489,189722.34375
1490,220054.234375
1491,188481.046875
1492,93517.3828125
1493,178593.578125
1494,280887.875
1495,292871.3125
1496,230923.234375
1497,180795.328125
1498,158290.984375
1499,155963.5625
1500,146752.4375
1501,171150.828125
1502,151179.171875
1503,294471.34375
1504,238944.390625
1505,221488.25
1506,190116.109375
1507,259502.640625
1508,203523.8125
1509,162430.953125
1510,136458.078125
1511,139703.03125
1512,167264.40625
1513,135932.6875
1514,150926.921875
1515,190008.25
1516,148387.484375
1517,166630.890625
1518,132893.109375
1519,219691.046875
1520,135271.859375
1521,134941.359375
1522,167443.0
1523,115225.328125
1524,124380.7265625
1525,125521.7109375
1526,115404.5859375
1527,104020.0078125
1528,137514.96875
1529,147284.8125
1530,180109.53125
1531,104069.0234375
1532,95242.171875
1533,146039.421875
1534,125622.7890625
1535,157114.421875
1536,105296.7734375
1537,52014.93359375
1538,158395.78125
1539,192173.96875
1540,91661.7109375
1541,149204.5625
1542,139085.9375
1543,210534.796875
1544,76906.34375
1545,106930.4921875
1546,130376.2890625
1547,129118.5078125
1548,135661.375
1549,112446.4609375
1550,127474.09375
1551,110367.2734375
1552,131317.171875
1553,144310.890625
1554,106686.84375
1555,167251.328125
1556,80763.171875
1557,108149.1875
1558,100839.234375
1559,71748.1328125
1560,140494.265625
1561,128631.921875
1562,133038.9375
1563,120790.515625
1564,165713.484375
1565,143980.28125
1566,238139.0625
1567,77057.4375
1568,221392.375
1569,143718.65625
1570,135595.796875
1571,119161.21875
1572,148811.0625
1573,251542.0625
1574,111542.453125
1575,220432.515625
1576,228019.890625
1577,185448.171875
1578,146239.5625
1579,144629.4375
1580,198911.1875
1581,145108.421875
1582,125848.8203125
1583,332112.5
1584,227383.84375
1585,142697.5
1586,73985.8203125
1587,89916.5703125
1588,142794.015625
1589,92816.34375
1590,136874.765625
1591,97464.0703125
1592,120078.984375
1593,123039.546875
1594,133401.03125
1595,114579.5703125
1596,247011.296875
1597,183599.203125
1598,207915.953125
1599,176522.484375
1600,175170.984375
1601,68011.5234375
1602,122194.3203125
1603,70774.2734375
1604,266269.90625
1605,248227.234375
1606,167001.734375
1607,164574.796875
1608,214205.015625
1609,180237.03125
1610,146819.625
1611,135789.90625
1612,161927.828125
1613,162389.140625
1614,125883.75
1615,87872.2578125
1616,73123.359375
1617,92873.1015625
1618,127426.6875
1619,134834.59375
1620,169549.640625
1621,136180.515625
1622,142376.015625
1623,269819.0
1624,214460.515625
1625,123302.90625
1626,154033.078125
1627,196645.546875
1628,277492.34375
1629,178266.515625
1630,375182.59375
1631,219955.828125
1632,237375.84375
1633,167552.578125
1634,190172.140625
1635,176628.90625
1636,151977.40625
1637,196973.828125
1638,191541.984375
1639,179430.4375
1640,269197.25
1641,176278.046875
1642,223169.21875
1643,222765.828125
1644,232554.234375
1645,199489.28125
1646,156720.390625
1647,157894.90625
1648,130018.0703125
1649,133982.046875
1650,106618.1875
1651,123176.7890625
1652,98286.2265625
1653,96638.203125
1654,147257.28125
1655,155918.359375
1656,149047.828125
1657,148703.53125
1658,142994.609375
1659,129990.046875
1660,152978.15625
1661,475589.4375
1662,406606.90625
1663,395377.9375
1664,486726.625
1665,296384.9375
1666,333638.8125
1667,384283.15625
1668,329211.34375
1669,292161.625
1670,346449.78125
1671,262631.21875
1672,457480.65625
1673,292757.375
1674,243971.765625
1675,185636.078125
1676,186518.765625
1677,219209.90625
1678,474970.28125
1679,412370.09375
1680,359316.15625
1681,246153.90625
1682,301926.40625
1683,174148.421875
1684,176809.40625
1685,171658.21875
1686,168321.984375
1687,167460.71875
1688,194479.515625
1689,193119.21875
1690,195586.578125
1691,179690.046875
1692,262778.78125
1693,165816.234375
1694,180949.703125
1695,163662.3125
1696,264666.0625
1697,169562.40625
1698,370948.4375
1699,318582.96875
1700,242006.4375
1701,262663.03125
1702,253853.890625
1703,251623.40625
1704,288475.40625
1705,229306.296875
1706,439313.34375
1707,213927.15625
1708,200477.203125
1709,286814.125
1710,217108.375
1711,257959.015625
1712,268354.1875
1713,267841.0625
1714,224171.546875
1715,197100.84375
1716,181162.609375
1717,178385.046875
1718,136821.90625
1719,198897.71875
1720,250307.03125
1721,172952.109375
1722,125799.625
1723,157892.953125
1724,214901.71875
1725,240344.203125
1726,184403.234375
1727,155963.859375
1728,179920.0
1729,164412.90625
1730,157857.109375
1731,121005.6640625
1732,133196.484375
1733,122570.0234375
1734,116602.484375
1735,131135.828125
1736,111513.203125
1737,313385.75
1738,218812.4375
1739,277643.46875
1740,215055.078125
1741,183088.28125
1742,168475.671875
1743,173232.234375
1744,303149.15625
1745,216536.0
1746,185525.828125
1747,213508.71875
1748,220284.78125
1749,146030.9375
1750,123297.0234375
1751,251747.734375
1752,116636.625
1753,146200.234375
1754,193103.390625
1755,169830.09375
1756,127139.3671875
1757,123034.3828125
1758,141190.171875
1759,160124.1875
1760,161777.78125
1761,134642.734375
1762,177139.703125
1763,167772.4375
1764,111055.4609375
1765,166209.359375
1766,177737.21875
1767,225248.40625
1768,144758.453125
1769,177761.796875
1770,145507.109375
1771,115596.359375
1772,132999.875
1773,124964.515625
1774,128021.3515625
1775,134544.15625
1776,124960.5859375
1777,112345.4921875
1778,136385.609375
1779,110875.03125
1780,178866.46875
1781,128253.296875
1782,86514.1171875
1783,144052.109375
1784,99182.2578125
1785,117785.7421875
1786,120091.125
1787,163745.515625
1788,59086.76953125
1789,97303.7734375
1790,79019.53125
1791,173515.140625
1792,158403.484375
1793,126071.0546875
1794,146851.5625
1795,135542.390625
1796,114642.859375
1797,115663.1875
1798,121384.421875
1799,106830.703125
1800,129445.109375
1801,134411.671875
1802,130576.625
1803,146466.375
1804,142913.21875
1805,140416.046875
1806,127719.2890625
1807,133734.390625
1808,116273.015625
1809,118624.3359375
1810,141069.984375
1811,96247.1171875
1812,102454.3984375
1813,118666.3125
1814,93093.375
1815,57362.57421875
1816,95762.4140625
1817,105528.6953125
1818,143556.46875
1819,122783.5390625
